,PID,Label,Description,Relevant
1325,P1770,Romania LMI code,identifier in 'Lista monumentelor istorice din România' (Romanian heritage sites),no
1326,P1771,Integrated Postsecondary Education Data System ID,identifier for colleges and universities in the United States,no
1327,P1772,USDA PLANTS ID,identifier in the United States Department of Agriculture PLANTS Database,no
1328,P1774,workshop of,artist whose work group are the likely creator of an artwork,yes
1329,P1775,follower of,for unknown artists who work in the manner of the named artist,yes
1330,P1776,circle of,"for unknown artists who lived in the same time as the named author in a similar style, possi",yes
1331,P1777,manner of,"for unknown artists who worked in a similar style as the named author, but not necessary fro",yes
1332,P1778,forgery after,for an artwork trying to appear to be the work of the named author,yes
1333,P1779,possible creator,for a creative work with considerable uncertainty about the author,yes
1334,P1780,school of,"for a creative work with author with a style influenced by the known author or circle, active",yes
1335,P1782,courtesy name,"name bestowed upon a person at adulthood in addition to one's given name, mostly in East Asia",yes
1336,P1785,temple name,name bestowed to a monarch after death (East Asia),yes
1337,P1786,posthumous name,name given to a person after death (East Asia),yes
1338,P1787,art name,type of pseudonym of modern and historical artists as well as specifically traditionally adopted by writers and artists in East Asia,yes
1339,P1788,DVN ID,"identifier in the Dutch Digitaal Vrouwenlexicon van Nederland (Online Dictionary of Dutch Women), a biography portal of prominent women in Dutch history.",yes
1340,P1789,chief operating officer,the chief operating officer of an organization,yes
1341,P1791,category for people buried here,Wikimedia category for people with a burial site within this area,no
1342,P1792,category of associated people,Wikimedia category for people associated with this place or organization,no
1343,P1793,format as a regular expression,"regex describing an identifier or a Wikidata property. When using on property constraints, ensure syntax is a PCRE",no
1344,P1794,bureau du patrimoine de Seine- Saint-Denis ID,identifier in the atlas-patrimoine93.fr website,no
1345,P1795,Smithsonian American Art Museum person/ institution ID,"identifier for a person or institution, in the Smithsonian American Art Museum: person/institution thesaurus",yes
1346,P1796,International Standard Industrial Classification code Rev.4,code of industry by ISIC (International Standard Industrial Classification of All Economic Activities),no
1347,P1798,ISO 639-5 code,3-letter identifier for language family or collective code per ISO 639-5,no
1348,P1799,Maltese Islands National Inventory of Cultural Property ID,identifier in the National Inventory of Cultural Property of the Maltese Islands,no
1349,P1800,Wikimedia database name,identifier for a Wikimedia project database,no
1350,P1801,plaque image,"image of plaque or inscription commemorating or mentioning the subject. For graves, use grave picture (P1442)",yes
1351,P1802,Early Modern Letters Online person ID,identifier in the Early Modern Letters Online project run by the Bodleian Library,yes
1352,P1803,Masaryk University person ID,"identifier for a person affiliated with Masaryk University (staff, alumnus, student…)",yes
1353,P1804,DNF film ID,identifier for a film in the Danish National Filmography,yes
1354,P1806,ABoK number,identifier for a knot in the Ashley Book of Knots,no
1355,P1807,Great Aragonese Encyclopedia ID,"identifier in the Spanish language, Aragon-themed, Great Aragonese Encyclopedia (GEA)",no
1356,P1808,senat.fr ID,identifier on the website of the French senate,yes
1357,P1810,subject named as,"name by which a subject is recorded in a database, mentioned as a contributor of a work, or is referred to in a particular context",yes
1358,P1811,list of episodes,link to the article with the list of episodes for this series,no
1359,P1813,short name,"short name of a place, organisation, person, journal, wikidata property, etc. Used by some Wikipedia templates.",yes
1360,P1814,name in kana,the reading of a Japanese name in kana,no
1361,P1815,RSL scanned publication ID,identifier of the Russian State Library,no
1362,P1816,National Portrait Gallery (London) person ID,"identifier for sitters and artists represented in the National Portrait Gallery, London",yes
1363,P1817,addressee,person or organization to whom a letter or note is addressed,no
1364,P1818,Kaiserhof ID,identifier in the personal database of the courtiers of the Austrian Habsburg imperial line and the branch lines,no
1365,P1819,genealogics.org person ID,"identifier for a person at genealogics.org. Format: ""I"" followed by 8 digits",no
1366,P1820,Open Food Facts food additive ID,represents a food additive on Open Food Facts,no
1367,P1821,Open Food Facts food category ID,represents a food category on Open Food Facts,no
1368,P1822,Denkmalliste Hamburg object ID,"identifier for cultural monuments in Hamburg, Germany",no
1369,P1823,BAnQ work ID,identifier for a work in the collection of Bibliothèque et Archives nationales du Québec,no
1370,P1824,road number,number assigned to a stretch of public roadway; omit any prefix or suffix indicated by a road number formatter,no
1371,P1825,Baseball Reference major league player ID,identifier for a Major League Baseball player assigned by Baseball-Reference.com,yes
1372,P1826,Baseball Reference minor & foreign league player ID,identifier for a Minor League Baseball player assigned by Baseball-Reference.com,yes
1373,P1827,ISWC,"identifier for musical works, adopted as international standard ISO 15707",yes
1374,P1828,IPI name number,"identifier for names of a composer, author and other relevant parties",yes
1375,P1829,Roud Folk Song Index number,number assigned to a folk song in the Roud Folk Song Index,yes
1376,P1830,owner of,entities owned by the subject,yes
1377,P1831,electorate,number of persons qualified to vote during elections,yes
1378,P1832,GrassBase ID,identifier in GrassBase - The Online World Grass Flora,no
1379,P1833,number of registered users/contributors,number of registered users on a website,yes
1380,P1836,draft pick number,overall pick number with which a player is selected in a sports draft,yes
1381,P1837,Gaoloumi ID,identifier for a building in the Gaoloumi database,no
1382,P1838,PSS-archi ID,identifier for a building in the PSS-archi database,no
1383,P1839,US Federal Election Commission ID,"identifier assigned by the US Federal Election Commission for federal candidates, parties, and other committees",yes
1384,P1840,investigated by,person or organization involved in investigation of the item,yes
1385,P1841,Swedish district code,identifier for Swedish districts from 2016,no
1386,P1842,Global Anabaptist Mennonite Encyclopedia Online ID,identifier for Global Anabaptist Mennonite Encyclopedia Online,no
1387,P1843,taxon common name,common or vernacular name of a biological taxon,no
1388,P1844,HathiTrust ID,identifier from the HathiTrust Digital Library,no
1389,P1845,anti-virus alias,alias issued by anti-ivirus companies to classify malware,no
1390,P1846,distribution map,"distribution of item on a mapped area (for range map of taxa, use P181).",no
1391,P1847,Nasjonalbiblioteket photographer ID,identifier used by the Nasjonalbiblioteket (Norwegian National Library) for photographers,no
1392,P1848,protected areas INPN Code,identifier from the Inventaire national du patrimoine naturel for protected areas,no
1393,P1850,SSR place name number,identifier for a place name in the Norwegian Mapping Authority's place name registry Sentralt stedsnavnregister (SSR),no
1394,P1851,input set,a superset of the domain of a function or relation that may include some inputs for which the function is not defined; to specify the set of only those inputs for which the function is defined use domain (P1568),no
1395,P1852,Perry Index,item's value on the Perry Index primarily for fables attributed to Aesop,no
